no_sekolah,nama_sekolah,jenjang,jumlah_siswa,kecamatan_sekolah,lat_sekolah,lng_sekolah,sppg_pelayan,lat_sppg,lng_sppg,jarak_lurus_km
73,"Sd Negeri Rangkah Vi, Sd Negeri Rangkah Vii",SD,445,TAMBAKSARI,-7.2488259,112.7600892,SPPG Kota Surabaya Tambaksari Tambaksari 2,-7.254102680485,112.755204528922,0.797
71,Sd Negeri Ploso V,SD,444,TAMBAKSARI,-7.251375,112.7741626,SPPG Kota Surabaya Tambaksari Gading,-7.2461338,112.7729803,0.597
68,Sd Negeri Pacarkembang,SD,438,TAMBAKSARI,-7.2562786,112.765432,SPPG Kota Surabaya Tambaksari Pacarkeling 3,-7.258436417793,112.757119626159,0.948
75,Sd Negeri Tambaksari Iii,SD,437,TAMBAKSARI,-7.2508246,112.7546594,SPPG Kota Surabaya Tambaksari Pacarkeling 1,-7.258704010052,112.755940627659,0.887
72,"Sd Negeri Rangkah I, Sd Negeri Rangkah Iv",SD,428,TAMBAKSARI,-7.2484974,112.7595601,SPPG Kota Surabaya Tambaksari Tambaksari 1,-7.260056094853,112.756706817428,1.323
65,Sd Negeri Gading Vii & Ix,SD,426,TAMBAKSARI,-7.2424409,112.765306,SPPG Kota Surabaya Tambaksari Pacarkembang 2,-7.262476620852,112.771433905126,2.328
70,Sd Negeri Ploso Iii,SD,423,TAMBAKSARI,-7.2514442,112.7709145,SPPG Kota Surabaya Tambaksari Pacarkembang 3,-7.264657228205,112.761639111473,1.79
66,Sd Negeri Pacar Keling 1,SD,415,TAMBAKSARI,-7.2588341,112.7604435,SPPG Kota Surabaya Tambaksari Pacarkeling 2,-7.2620423175,112.753547988877,0.84
64,Sd Negeri Gading V & Viii,SD,412,TAMBAKSARI,-7.2406834,112.7627247,SPPG Kota Surabaya Tambaksari Gading,-7.2461338,112.7729803,1.283
63,Sd Negeri Gading Iv,SD,411,TAMBAKSARI,-7.2422649,112.7711971,SPPG Kota Surabaya Tambaksari Gading 2,-7.246559386722,112.774114689219,0.576
69,Sd Negeri Ploso I,SD,410,TAMBAKSARI,-7.2518029,112.7636384,SPPG Kota Surabaya Tambaksari Pacarkeling 3,-7.258436417793,112.757119626159,1.03
74,Sd Negeri Tambaksari I,SD,407,TAMBAKSARI,-7.2515303,112.7538699,SPPG Kota Surabaya Tambaksari Tambaksari 2,-7.254102680485,112.755204528922,0.322
67,Sd Negeri Pacar Keling 5-6-7-8,SD,406,TAMBAKSARI,-7.258024,112.7550497,SPPG Kota Surabaya Tambaksari Pacarkeling 1,-7.258704010052,112.755940627659,0.124
61,Sd Negeri Gading 1,SD,400,TAMBAKSARI,-7.2451932,112.7695033,SPPG Kota Surabaya Tambaksari Pacarkembang 2,-7.262476620852,112.771433905126,1.934
85,Sma Negeri 16 Surabaya,SMA/SMK,1142,TENGGILIS MEJOYO,-7.3099429,112.7596512,SPPG Kota Surabaya Tenggilis Mejoyo Panjang Jiwo,-7.310744690388,112.759053415041,0.111
84,Smp Negeri 39 Surabaya,SMP,1002,TENGGILIS MEJOYO,-7.3099125,112.7603895,SPPG Kota Surabaya Tenggilis Mejoyo Tenggilis Mejoyo,-7.312176990002,112.756075995395,0.538
79,Sd Negeri Kendangsari 5,SD,450,TENGGILIS MEJOYO,-7.3211228,112.7523806,SPPG Kota Surabaya Tenggilis Mejoyo Kendangsari,-7.3268,112.75,0.684
83,Sdn Tenggilis Mejoyo 1,SD,450,TENGGILIS MEJOYO,-7.3131164,112.7581571,SPPG Kota Surabaya Tenggilis Mejoyo Kendangsari,-7.3268,112.75,1.768
80,Sd Negeri Kutisari 2,SD,443,TENGGILIS MEJOYO,-7.3352442,112.7472824,SPPG Kota Surabaya Tenggilis Mejoyo Tenggilis Mejoyo,-7.312176990002,112.756075995395,2.742
82,Sd Negeri Tenggilis Mejoyo 1,SD,439,TENGGILIS MEJOYO,-7.3157546,112.7543289,SPPG Kota Surabaya Tenggilis Mejoyo Panjang Jiwo,-7.310744690388,112.759053415041,0.763
81,Sd Negeri Panjang Jiwo 1 No.265,SD,434,TENGGILIS MEJOYO,-7.3087431,112.76159,SPPG Kota Surabaya Tenggilis Mejoyo Kendangsari,-7.3268,112.75,2.38
77,Sd Negeri Kendangsari 1,SD,424,TENGGILIS MEJOYO,-7.3213213,112.7522139,SPPG Kota Surabaya Tenggilis Mejoyo Tenggilis Mejoyo,-7.312176990002,112.756075995395,1.102
78,Sd Negeri Kendangsari 2,SD,418,TENGGILIS MEJOYO,-7.3227346,112.7507928,SPPG Kota Surabaya Tenggilis Mejoyo Panjang Jiwo,-7.310744690388,112.759053415041,1.615
