no,osm_id,nama_sekolah,jenjang,jumlah_siswa,kecamatan,alamat,kota,lat,lng
72,447635917,"Sd Negeri Rangkah I, Sd Negeri Rangkah Iv",SD,428,TAMBAKSARI,"Jalan Tambak Segaran Wetan 43I, Tambaksari, Jawa Timur 60135, Idn",Surabaya,-7.2484974,112.7595601
73,449296676,"Sd Negeri Rangkah Vi, Sd Negeri Rangkah Vii",SD,445,TAMBAKSARI,"Jalan Kapas Krampung 47, Tambaksari, Jawa Timur 60135, Idn",Surabaya,-7.2488259,112.7600892
74,467339094,Sd Negeri Tambaksari I,SD,407,TAMBAKSARI,"Jalan Nanas 12, Tambaksari, Jawa Timur 60136, Idn",Surabaya,-7.2515303,112.7538699
75,448071252,Sd Negeri Tambaksari Iii,SD,437,TAMBAKSARI,"Jalan Jeruk 8, Tambaksari, Jawa Timur 60136, Idn",Surabaya,-7.2508246,112.7546594
76,125578780,Smp Negeri 9 Surabaya,SMP,1040,TAMBAKSARI,"Jalan Taman Putro Agung 2, Tambaksari, Jawa Timur 60135, Idn",Surabaya,-7.2500157,112.7653516
77,451313338,Sd Negeri Kendangsari 1,SD,424,TENGGILIS MEJOYO,"Jalan Tenggilis Tengah, Tenggilis Mejoyo, Jawa Timur 60292, Idn",Surabaya,-7.3213213,112.7522139
78,460853348,Sd Negeri Kendangsari 2,SD,418,TENGGILIS MEJOYO,"Jalan Kendang Sari Gang Sd Inpres 97A, Tenggilis Mejoyo, Jawa Timur 60292, Idn",Surabaya,-7.3227346,112.7507928
79,451313363,Sd Negeri Kendangsari 5,SD,450,TENGGILIS MEJOYO,"Jalan Tenggilis Timur 4 69, Tenggilis Mejoyo, Jawa Timur 60292, Idn",Surabaya,-7.3211228,112.7523806
80,462689478,Sd Negeri Kutisari 2,SD,443,TENGGILIS MEJOYO,"Jalan Kutisari Selatan 29, Tenggilis Mejoyo, Jawa Timur 60291, Idn",Surabaya,-7.3352442,112.7472824
81,459323952,Sd Negeri Panjang Jiwo 1 No.265,SD,434,TENGGILIS MEJOYO,"Jalan Panjangjiwo Gang Besar, Tenggilis Mejoyo, Jawa Timur 60299, Idn",Surabaya,-7.3087431,112.76159
82,459536849,Sd Negeri Tenggilis Mejoyo 1,SD,439,TENGGILIS MEJOYO,"Jalan Raya Prapen, Tenggilis Mejoyo, Jawa Timur 60292, Idn",Surabaya,-7.3157546,112.7543289
83,13475865601,Sdn Tenggilis Mejoyo 1,SD,450,TENGGILIS MEJOYO,"Jalan Prapen Indah 2 14A, Tenggilis Mejoyo, Jawa Timur 60299, Idn",Surabaya,-7.3131164,112.7581571
84,459323949,Smp Negeri 39 Surabaya,SMP,1002,TENGGILIS MEJOYO,"Jalan Sarono Jiwo 1, Tenggilis Mejoyo, Jawa Timur 60299, Idn",Surabaya,-7.3099125,112.7603895
85,459323950,Sma Negeri 16 Surabaya,SMA/SMK,1142,TENGGILIS MEJOYO,"Jalan Raya Prapen, Tenggilis Mejoyo, Jawa Timur 60299, Idn",Surabaya,-7.3099429,112.7596512
